Profile,Type,Ranking
IOT - Community,Asset,1
IOT - Sub Community,Asset,2
IOT - Building,Asset,3
IOT - Floor,Asset,4
IOT - Space,Asset,5
IOT - AC Split Unit,Device,6
IOT - ACB Panel,Device,6
IOT - ACS Panel,Device,6
IOT - AOVD,Device,6
IOT - ATS Panel,Device,6
IOT - AV POD,Device,6
IOT - Air Cooled Chiller Common,Device,6
IOT - Air Curtain,Device,6
IOT - Air Handling Unit,Device,6
IOT - Ambient Temperature 2,Device,6
IOT - Ambient Temperature Sensor,Device,6
IOT - Aviation Light Control Panel,Device,6
IOT - BTU Main Meter,Device,6
IOT - BTU Meter,Device,6
IOT - BTU Sub Meter,Device,6
IOT - Black Water Process System,Device,6
IOT - Booster Pump,Device,6
IOT - Booster Pump Common,Device,6
IOT - Brackish Water Tank,Device,6
IOT - CAV,Device,6
IOT - CO Monitoring Panel,Device,6
IOT - CO Sensor 2,Device,6
IOT - CRAC Unit,Device,6
IOT - Calorifier Tank,Device,6
IOT - Capacitor Bank,Device,6
IOT - Car Park Discharge Pump,Device,6
IOT - Carbon Filters,Device,6
IOT - Carbon Monoxide Sensor,Device,6
IOT - Central Battery System,Device,6
IOT - Central Monitoring Panel,Device,6
IOT - Chemical Dosing Unit,Device,6
IOT - Chemical Treatment,Device,6
IOT - Chemical Treatment Unit,Device,6
IOT - Chilled Water Common Header,Device,6
IOT - Chilled Water Pump,Device,6
IOT - Chilled Water Station,Device,6
IOT - Chiller,Device,6
IOT - Chiller Common,Device,6
IOT - Chlorine System,Device,6
IOT - Circulation Pump,Device,6
IOT - Circulation Pump Common,Device,6
IOT - Clean Agent System,Device,6
IOT - Close Control Unit,Device,6
IOT - Cold Room,Device,6
IOT - Computer Room Air Conditioning,Device,6
IOT - Condensate Pump,Device,6
IOT - Condensate Pump Common,Device,6
IOT - Condensate Water Tank,Device,6
IOT - Condensate Water Tank Common,Device,6
IOT - Condenser Makeup Panel,Device,6
IOT - Condenser Pump,Device,6
IOT - Cooling Tower,Device,6
IOT - Cooling Tower Common,Device,6
IOT - Copper Ionisation Unit,Device,6
IOT - DB Meter,Device,6
IOT - DDC Controller,Device,6
IOT - DX Unit,Device,6
IOT - Damper,Device,6
IOT - Deionization Filteration Unit,Device,6
IOT - Diesel Tank,Device,6
IOT - Domestic Water Tank,Device,6
IOT - Dosing Pump,Device,6
IOT - Dosing Unit,Device,6
IOT - ELSP,Device,6
IOT - EMCC Panel,Device,6
IOT - EMDB Panel,Device,6
IOT - ESMDB Panel,Device,6
IOT - Ecology Unit,Device,6
IOT - Emergency Cooler,Device,6
IOT - Emergency Lighting Panel,Device,6
IOT - Emergency MCC Meter,Device,6
IOT - Emergency SMDB,Device,6
IOT - Emergency SMDB Meter,Device,6
IOT - Emergency SMDB Panel,Device,6
IOT - Entrance Door,Device,6
IOT - Escalator,Device,6
IOT - Exhaust Air Fan,Device,6
IOT - Exhaust Fan,Device,6
IOT - Exhaust Fan Common,Device,6
IOT - Expansion Tank 2,Device,6
IOT - Extract Fan,Device,6
IOT - FM 200,Device,6
IOT - FM200,Device,6
IOT - FRDP,Device,6
IOT - Fan Coil Unit,Device,6
IOT - Feeder Panel,Device,6
IOT - Filteration Pump,Device,6
IOT - Fire Alarm Panel,Device,6
IOT - Fire Alarm System,Device,6
IOT - Fire Diesel Pump,Device,6
IOT - Fire Duct Door,Device,6
IOT - Fire Electrical Pump,Device,6
IOT - Fire Jockey Pump,Device,6
IOT - Fire Pump,Device,6
IOT - Fire Pump Set Common,Device,6
IOT - Fire Shutter Panel,Device,6
IOT - Fire Suppression System,Device,6
IOT - Fire Water Tank,Device,6
IOT - Fire Water Tank Common,Device,6
IOT - Flue Gas Sensor,Device,6
IOT - Foam System,Device,6
IOT - Fresh Air Fan,Device,6
IOT - Fresh Air Fan Common,Device,6
IOT - Fresh Air Handling Unit,Device,6
IOT - Fuel Oil System,Device,6
IOT - GMDB Panel,Device,6
IOT - GRP Water Tank,Device,6
IOT - Gas Meter,Device,6
IOT - Gas Monitoring System,Device,6
IOT - Gas Panel,Device,6
IOT - Gate Barrier,Device,6
IOT - Generator,Device,6
